Trial Title,Trial Phase,Trial Status,Sponsor,Disease,Patient Segment,MeSH Term,Countries
"A Phase I Study to Assess the Safety and Efficacy of LYL797, ROR1-Targeting CAR T Cells, in Adults With Relapsed and/or Refractory Solid-Tumor Malignancies",I,Open,Lyell Immunopharma,"Oncology: Breast; Oncology: Lung, Non-Small Cell",Fourth line or greater; HER2 negative; PD-1 Refractory; PD-L1 Refractory; Stage III; Stage IV; Third line; Triple receptor negative,"Breast Neoplasms; Carcinoma; Carcinoma, Non-Small-Cell Lung; Lung Neoplasms; Recurrence; Triple Negative Breast Neoplasms",United States
"A Phase I/IIa, Multicenter, Open-Label, Non-Randomized First in Human Study to Assess the Safety, Tolerability, Pharmacokinetics, and Preliminary Antitumor Activity of DB-1303 in Patients With Advanced/Metastatic Solid Tumors",I/II,Open,"BioNTech
Duality Biologics","Oncology: Breast; Oncology: Colorectal; Oncology: Endometrial; Oncology: Esophageal; Oncology: Gastric; Oncology: Lung, Non-Small Cell; Oncology: Ovarian; Oncology: Unspecified Solid Tumor; Oncology: Vaginal",HER2 negative; HER2 positive; Second line; Stage II; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Neoplasms; Neoplasms, Unknown Primary; Ovarian Neoplasms; Stomach Neoplasms; Vaginal Neoplasms",Australia; China; United States
Phase I Trial of Alpelisib Plus Sacituzumab Govitecan In Patients With Metastatic or Locally Recurrent HER2-Negative Breast Cancer,I,Open,"Novartis;
University of Kansas
Gilead Sciences;",Oncology: Breast,Estrogen receptor positive; Fourth line or greater; HER2 negative; PD-1 Refractory; PD-L1 Refractory; Progesterone receptor positive; Second line; Stage III; Stage IV; Third line; Triple receptor negative,Breast Neoplasms,United States
A Phase I Dose Escalation and Dose Expansion Study of AND019 in Patients With Estrogen Receptor Positive Human Epidermal Growth Factor Receptor 2 Negative Advanced or Metastatic Breast Cancer,I,Open,Kind Pharmaceuticals,Oncology: Breast,Estrogen receptor positive; HER2 negative; Second line; Stage III; Stage IV,Breast Neoplasms,China; United States
A Clinical Study of TRS004 in Patients with Recurrent and Metastatic Breast Cancer,I,Planned,Zhejiang Teruisi Pharmaceutical Co.,Oncology: Breast,Line of therapy N/A; Stage IV,Breast Neoplasms,China; United States
A Dose-confirming Study of CFI-402257 as a Single Agent in Advanced Solid Tumors and in Combination With Fulvestrant in Patients With ER+/HER2- Advanced Breast Cancer After Disease Progression on Prior CDK4/6 and Endocrine Therapy.,I/II,Open,Treadwell Therapeutics,Oncology: Breast; Oncology: Unspecified Solid Tumor,Estrogen receptor positive; HER2 negative; Progesterone receptor positive; Second line; Stage III; Stage IV; Third line,"Breast Neoplasms; Neoplasms, Unknown Primary",United States
"A Phase Ib Dose-escalation And Imaging Study Of Ifabotuzumab In Non-CNS Solid Tumors Such As Breast, Colorectal, Lung, And Pancreatic cancer",I,Planned,Humanigen,"Oncology: Breast; Oncology: Colorectal; Oncology: Lung, Non-Small Cell; Oncology: Lung, Small Cell; Oncology: Neuroendocrine; Oncology: Pancreas",(N/A); Line of therapy N/A; Pulmonary,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Small Cell; Colorectal Neoplasms; Neuroendocrine Tumors; Pancreatic Cancer; Pancreatic Neoplasms; Small Cell Lung Carcinoma",United States
"A Phase I/IIa Multi-center, Open-label Master Protocol to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Preliminary Antitumor Activity of AZD8205 in Participants With Advanced or Metastatic Solid Malignancies",I/II,Open,AstraZeneca;,Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Breast; Oncology: Endometrial; Oncology: Fallopian Tube; Oncology: Ovarian; Oncology: Primary Peritoneal; Oncology: Unspecified Solid Tumor,HER2 negative; Second line; Stage III; Stage IV; Triple receptor negative,"Bile Duct Neoplasms; Breast Neoplasms; Carcinoma, Endometrioid; Cholangiocarcinoma; Cholangiocarcinoma; Endometrial Neoplasms; Fallopian Tube Neoplasms; Neoplasms, Unknown Primary; Ovarian Cancer; Ovarian Neoplasms; Peritoneal Neoplasms","Australia; Belgium; Canada; China; Japan; Netherlands; Poland; South Korea; Spain; Taiwan, China; Thailand; United Kingdom; United States"
"A Phase I, Open-Label, First in Human, Dose Escalation Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of ZX-4081 in Patients With Advanced Solid Tumors",I,Open,Nanjing Zenshine Pharmaceuticals Co.,"Oncology: Bladder; Oncology: Breast; Oncology: Colorectal; Oncology: Head/Neck; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Melanoma; Oncology: Ovarian; Oncology: Renal",Second line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Colorectal Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Liver Cancer; Liver Neoplasms; Melanoma; Neoplasms; Ovarian Cancer; Ovarian Neoplasms; Renal Cancer; Urethral Neoplasms; Urinary Bladder Neoplasms; Wilms Tumor",United States
A Phase I Study of ZEN003694 in Combination With Binimetinib in Solid Tumors With RAS Pathway Alterations and Triple Negative Breast Cancer,I,Open,National Institutes of Health/National Cancer Institute;,Oncology: Breast; Oncology: Unspecified Solid Tumor,BRAF; HER2 negative; HRAS; KRAS; NRAS; Second line; Stage III; Stage IV; Triple receptor negative,"Breast Neoplasms; Neoplasms; Neoplasms, Unknown Primary; Triple Negative Breast Neoplasms",United States
"A Phase I, Open-Label Study of the Safety, Tolerability and Preliminary Clinical Activity of Allogeneic Invariant Natural Killer T (iNKT) Cells (agenT-797) as a Single Agent and in Combination With Approved Immune Checkpoint Inhibitors in Patients With Relapsed/ Refractory Solid Tumors",I,Open,Agenus/MiNK Therapeutics,"Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Breast; Oncology: Cervical; Oncology: Colorectal; Oncology: Gastric; Oncology: Head/Neck; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Melanoma; Oncology: Pancreas; Oncology: Renal; Oncology: Skin, Squamous Cell Carcinoma (cSCC); Oncology: Thymus; Oncology: Unspecified Solid Tumor",(N/A); Fourth line or greater; Line of therapy N/A; MSI-H/dMMR; PD-1 Refractory; Second line; Third line,"Bile Duct Neoplasms; Breast Neoplasms; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Cholangiocarcinoma; Colorectal Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Liver Cancer; Liver Neoplasms; Melanoma; Multiple Myeloma; Neoplasms; Neoplasms, Unknown Primary; Pancreatic Neoplasms; Stomach Neoplasms; Thymus Neoplasms; Uterine Cervical Neoplasms; Wilms Tumor",United States
"Phase I Multicenter, Open-Label, First-in-Human Study of ORM-5029 in Subjects With HER2-Expressing Advanced Solid Tumors",I,Open,Orum Therapeutics,"Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Bladder; Oncology: Breast; Oncology: Gastric; Oncology: Lung, Non-Small Cell; Oncology: Ovarian; Oncology: Unspecified Solid Tumor",HER2 positive; Second line; Stage III; Stage IV,"Bile Duct Neoplasms; Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Cholangiocarcinoma; Neoplasms, Unknown Primary; Ovarian Neoplasms; Stomach Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms",United States
"A Phase I, Open-label, Dose Escalation and Dose-Expansion Study to Evaluate the Safety and Tolerability of Modified Salmonella Typhimurium SGN1 Administered Via Intratumoral Injection in Patients With Advanced Solid Tumors",I,Open,Guangzhou Sinogen Pharmaceutical Co.,"Oncology: Breast; Oncology: Cervical; Oncology: Head/Neck; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Lung, Small Cell; Oncology: Lymphoma, Hodgkin's; Oncology: Lymphoma, Non-Hodgkin's; Oncology: Melanoma; Oncology: Neuroendocrine; Oncology: Ovarian; Oncology: Soft Tissue Sarcoma; Oncology: Unspecified Solid Tumor",(N/A); Adenocarcinoma; Aggressive; Classical; Indolent; Metastatic; Nodular lymphocyte-predominant; Pulmonary; Second line; Squamous Cell; Stage III; Stage IV; Unresectable,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Fibrosarcoma; Head and Neck Neoplasms; Hodgkin Disease; Hodgkin Lymphoma; Leiomyosarcoma; Liposarcoma; Liver Neoplasms; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Non-Hodgkin; Melanoma; Neoplasms; Neoplasms, Unknown Primary; Neuroendocrine Tumors; Osteosarcoma; Ovarian Neoplasms; Rhabdomyosarcoma; Sarcoma; Small Cell Lung Carcinoma; Synovial Sarcoma; Uterine Cervical Neoplasms","Taiwan, China; United States"
A Phase I Study of TSN084 for the Treatment of Solid Tumours Including NSCLC and TNBC,I,Open,Tyligand Bioscience (Shanghai),"Oncology: Breast; Oncology: Lung, Non-Small Cell; Oncology: Unspecified Solid Tumor",HER2 negative; Line of therapy N/A; Triple receptor negative,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Neoplasms, Unknown Primary",United States
PNV21-001: A Phase I Study of a Personalized Multi-Peptide Neo-Antigen Vaccine in Breast Cancer and PD1/PD-L1 Inhibitor-Refractory Melanoma,I,Open,Fred Hutchinson Cancer Research Center,Oncology: Breast; Oncology: Melanoma,BRAF; Estrogen receptor positive; HER2 negative; PD-1 Refractory; PD-L1 Refractory; Progesterone receptor positive; Second line; Stage III; Stage IV,Breast Neoplasms; Carcinoma; Melanoma; Skin Neoplasms,United States
A Phase 1/1b Dose Escalation/Dose Expansion Study of PRGN-3007 UltraCAR-T Cells in Patients With Advanced Hematologic and Solid Tumor Malignancies,I,Open,"H. Lee Moffitt Cancer Center and Research Institute
Precigen; Inc. {Intrexon}/Precigen","Oncology: Breast; Oncology: Leukemia, Acute Lymphocytic; Oncology: Leukemia, Chronic Lymphocytic; Oncology: Lymphoma, Non-Hodgkin's",Aggressive; Diffuse large B-cell lymphoma (DLBCL); HER2 negative; Mantle cell lymphoma (MCL); Second line; Stage III; Stage IV; Triple receptor negative,"Breast Neoplasms; Chronic Lymphocytic Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Mantle-Cell; Lymphoma, Non-Hodgkin; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
"A Multicenter, Phase IB/II Study of Abemaciclib in Combination With Bicalutamide for Androgen Receptor-positive, HER2-negative Metastatic Breast Cancer",I/II,Open,Icahn School of Medicine at Mount Sinai {Mount Sinai School of Medicine},Oncology: Breast,Estrogen receptor positive; HER2 negative; Progesterone receptor positive; Second line; Stage III; Stage IV; Triple receptor negative,Breast Neoplasms,United States
"Phase I Study of Tumor Treating Fields (TTF) in Combination With Cabozantinib, or With Atezolizumab and Nab-Paclitaxel in Patients With Advanced Solid Tumors Involving the Abdomen or Thorax",I,Open,MD Anderson Cancer Center University of Texas;,Oncology: Breast; Oncology: Endometrial; Oncology: Fallopian Tube; Oncology: Liver; Oncology: Ovarian; Oncology: Primary Peritoneal; Oncology: Renal,Line of therapy N/A; Stage III; Stage IV,"Abdominal Neoplasms; Breast Neoplasms; Carcinoma; Carcinoma, Endometrioid; Carcinoma, Hepatocellular; Carcinoma, Ovarian Epithelial; Carcinoma, Renal Cell; Endometrial Neoplasms; Fallopian Tube Neoplasms; Genital Neoplasms, Female; Kidney Neoplasms; Liver Cancer; Liver Neoplasms; Neoplasms; Ovarian Cancer; Ovarian Neoplasms; Peritoneal Neoplasms; Renal Cancer; Thoracic Neoplasms; Wilms Tumor",United States
"A Phase I Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Preliminary Anti-tumor Activity of IPG7236 Administered Orally as a Single Agent in Patients With Advanced Solid Tumors",I,Open,Nanjing Immunophage Biotech Co.,Oncology: Breast; Oncology: Head/Neck; Oncology: Melanoma; Oncology: Renal; Oncology: Unspecified Solid Tumor,HER2 negative; Second line; Stage III; Stage IV; Triple receptor negative,"Breast Neoplasms; Carcinoma, Renal Cell; Head and Neck Neoplasms; Kidney Neoplasms; Melanoma; Neoplasms, Unknown Primary; Renal Cancer; Unspecified; Wilms Tumor",China; United States
"A Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Preliminary Anti-Tumor Activity of AC682 in Patients With Estrogen Receptor Positive/Human Epidermal Growth Factor Receptor 2 Negative (ER+/HER2-) Locally Advanced or Metastatic Breast Cancer",I,Open,Accutar Biotechnology,Oncology: Breast,Estrogen receptor positive; HER2 negative; Line of therapy N/A; Stage III; Stage IV,Breast Neoplasms,United States
A Phase I/II Single Arm Open-Label Clinical Trial of TC-510 In Patients With Advanced Mesothelin-Expressing Cancer,I/II,Open,TCR2 Therapeutics,Oncology: Breast; Oncology: Colorectal; Oncology: Mesothelioma; Oncology: Ovarian; Oncology: Pancreas; Oncology: Primary Peritoneal,(N/A); HER2 negative; Line of therapy N/A; Triple receptor negative,Breast Neoplasms; Colorectal Neoplasms; Mesothelioma; Ovarian Cancer; Ovarian Neoplasms; Pancreatic Cancer; Pancreatic Neoplasms; Peritoneal Neoplasms,United States
"A Phase I, Open-Label, Multicenter, Dose Escalation Study Evaluating the Safety, Tolerability, and Preliminary Efficacy of IMM2902 in Patients With HER2-Expressing Advanced Solid Tumors",I,Open,ImmuneOnco Biopharmaceuticals (Shanghai) Co.,Oncology: Breast; Oncology: Gastric; Oncology: Unspecified Solid Tumor,Second line; Stage III; Stage IV,"Breast Neoplasms; Neoplasms; Neoplasms, Unknown Primary; Stomach Carcinoma; Stomach Neoplasms",United States
Pharmacokinetics and Safety of Epidiferphane and Taxanes in Breast Cancer Patients,I/II,Open,University of Florida - Gainesville,Oncology: Breast,Line of therapy N/A; Stage 0; Stage I; Stage II; Stage III; Stage IV,Breast Neoplasms,United States
"A First-in-Human Study of Mutant-selective PI3Ka Inhibitor, RLY-2608, as a Single Agent in Advanced Solid Tumor Patients and in Combination With Fulvestrant in Patients With Advanced Breast Cancer",I,Open,Relay Therapeutics,"Oncology: Breast; Oncology: Cervical; Oncology: Head/Neck; Oncology: Ovarian; Oncology: Skin, Squamous Cell Carcinoma (cSCC); Oncology: Unspecified Solid Tumor",Estrogen receptor positive; HER2 negative; Progesterone receptor positive; Second line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Squamous Cell; Head and Neck Neoplasms; Neoplasms; Neoplasms, Unknown Primary; Ovarian Cancer; Ovarian Neoplasms; Uterine Cervical Neoplasms",United States
"An Open-label, Dose Escalation and Expansion, Phase Ia/Ib Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of TAK-500, a Novel Stimulator of Interferon Genes Agonist, as a Single Agent and in Combination With Pembrolizumab in Adult Patients With Select Locally Advanced or Metastatic Solid Tumors.",I,Open,Takeda,"Oncology: Breast; Oncology: Esophageal; Oncology: Gastric; Oncology: Head/Neck; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Mesothelioma; Oncology: Pancreas; Oncology: Unspecified Solid Tumor",Adenocarcinoma; HER2 negative; Large Cell; Second line; Stage III; Stage IV; Triple receptor negative,"Breast Neoplasms; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Squamous Cell; Esophageal Cancer; Esophageal Neoplasms; Head and Neck Neoplasms; Liver Cancer; Liver Neoplasms; Mesothelioma; Neoplasms, Mesothelial; Neoplasms, Squamous Cell; Neoplasms, Unknown Primary; Pancreatic Cancer; Pancreatic Neoplasms; Stomach Carcinoma; Stomach Neoplasms",United States
"First-in-human, Open-label, Dose-escalation Trial With Expansion Cohorts to Evaluate Safety of GEN1047 in Subjects With Malignant Solid Tumors",I/II,Open,Genmab,"Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Endometrial; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Ovarian; Oncology: Renal",Fourth line or greater; Stage III; Stage IV,"Bile Duct Neoplasms; Breast Neoplasms; Carcinoma, Endometrioid; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Cholangiocarcinoma; Cholangiocarcinoma; Endometrial Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Nasopharyngeal Carcinoma; Ovarian Cancer; Ovarian Neoplasms; Renal Cancer; Squamous Cell Carcinoma of Head and Neck; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Uterine Neoplasms; Wilms Tumor",Denmark; France; Spain; United States
"A PHASE I DOSE ESCALATION AND EXPANSION STUDY TO EVALUATE THE SAFETY, TOLERABILITY, PHARMACOKINETIC, PHARMACODYNAMIC, AND ANTITUMOR ACTIVITY OF PF-07260437 IN ADVANCED OR METASTATIC SOLID TUMORS",I,Open,Pfizer;,Oncology: Breast; Oncology: Endometrial; Oncology: Ovarian,Estrogen receptor positive; HER2 negative; Progesterone receptor positive; Second line; Stage III; Stage IV; Third line; Triple receptor negative,"Breast Neoplasms; Carcinoma, Endometrioid; Endometrial Neoplasms; Neoplasms; Ovarian Cancer; Ovarian Neoplasms",Puerto Rico; United States
"Phase I/II, Multicenter, Open-label, Clinical and Pharmacokinetic Study of PM14 in Combination with Irinotecan in Pretreated Patients with Selected Advanced Solid Tumors",I/II,Open,PharmaMar,"Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Endometrial; Oncology: Esophageal; Oncology: Fallopian Tube; Oncology: Gastric; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Lung, Small Cell; Oncology: Mesothelioma; Oncology: Neuroendocrine; Oncology: Ovarian; Oncology: Pancreas; Oncology: Primary Peritoneal; Oncology: Prostate; Oncology: Renal; Oncology: Soft Tissue Sarcoma; Oncology: Unspecified Solid Tumor",Adenocarcinoma; Gastrointestinal; High-grade; Hormone refractory; Pancreas; Pulmonary; Second line; Stage III; Stage IV,"Bile Duct Neoplasms; Breast Neoplasms; Carcinoma, Endometrioid; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Small Cell; Cholangiocarcinoma; Endometrial Neoplasms; Esophageal Cancer; Esophageal Neoplasms; Fallopian Tube Neoplasms; Fibrosarcoma; Kidney Neoplasms; Leiomyosarcoma; Liposarcoma; Liver Cancer; Liver Neoplasms; Mesothelioma; Neoplasms, Mesothelial; Neoplasms, Unknown Primary; Neuroendocrine Tumors; Ovarian Cancer; Ovarian Neoplasms; Pancreatic Cancer; Pancreatic Neoplasms; Peritoneal Neoplasms; Prostatic Neoplasms; Renal Cancer; Rhabdomyosarcoma; Sarcoma; Small Cell Lung Carcinoma; Soft Tissue Neoplasms; Soft Tissue Sarcoma; Stomach Carcinoma; Stomach Neoplasms; Synovial Sarcoma; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Wilms Tumor",Spain; United States
"Phase I, Open-label Study to Evaluate Safety, Tolerability and Preliminary Efficacy of Modified Salmonella
 Typhimurium SGN1 in Patients With Advanced Solid Tumor",I,Open,Guangzhou Sinogen Pharmaceutical Co.,"Oncology: Breast; Oncology: Cervical; Oncology: Head/Neck; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Lymphoma, Hodgkin's; Oncology: Lymphoma, Non-Hodgkin's; Oncology: Melanoma; Oncology: Neuroendocrine; Oncology: Ovarian; Oncology: Soft Tissue Sarcoma; Oncology: Unspecified Solid Tumor",Adenocarcinoma; Aggressive; Classical; Indolent; Metastatic; Nodular lymphocyte-predominant; Pulmonary; Second line; Squamous Cell; Stage III; Stage IV; Unresectable,"Breast Neoplasms; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Fibrosarcoma; Head and Neck Neoplasms; Hodgkin Disease; Hodgkin Lymphoma; Leiomyosarcoma; Liposarcoma; Liver Cancer; Liver Neoplasms; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Non-Hodgkin; Melanoma; Neoplasms; Neoplasms, Unknown Primary; Neuroendocrine Tumors; Ovarian Cancer; Ovarian Neoplasms; Rhabdomyosarcoma; Sarcoma; Soft Tissue Neoplasms; Soft Tissue Sarcoma; Synovial Sarcoma; Uterine Cervical Neoplasms","Taiwan, China; United States"
"A Phase I First in Human Study Evaluating Safety, Pharmacokinetics and Efficacy of ABBV-400 in Adult Subjects With Advanced Solid Tumors",I,Open,AbbVie;,"Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Bladder; Oncology: Breast; Oncology: Colorectal; Oncology: Esophageal; Oncology: Gastric; Oncology: Lung, Non-Small Cell; Oncology: Unspecified Solid Tumor",Adenocarcinoma; EGFR; Fourth line or greater; Large Cell; MET Amplification/Alteration; PD-1 Refractory; PD-L1 Refractory; Second line; Stage III; Stage IV; Third line,"Adenocarcinoma; Bile Duct Neoplasms; Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Cholangiocarcinoma; Colorectal Neoplasms; Esophageal Cancer; Esophageal Neoplasms; Neoplasms, Unknown Primary; Stomach Carcinoma; Stomach Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms",Japan; Puerto Rico; Spain; United States
Phase I Pilot Study With Dose Expansion of Chemotherapy in Combination With CD40 Agonist and Flt3 Ligand in Metastatic Triple Negative Breast Cancer,I,Open,"(Other Cooperative Group);
Celldex Therapeutics {AVANT Immunotherapeutics}
University of Texas Southwest Medical Center",Oncology: Breast,First line; HER2 negative; PD-1 Naive; PD-L1 Naive; Second line; Stage III; Stage IV; Third line; Triple receptor negative,Breast Neoplasms; Triple Negative Breast Neoplasms,United States
NP-G2-044 as Monotherapy and Combination Therapy in Patients With Advanced or Metastatic Solid Tumor Malignancies,I/II,Open,Novita Healthcare {Avexa},Oncology: Breast; Oncology: Cervical; Oncology: Endometrial; Oncology: Fallopian Tube; Oncology: Ovarian; Oncology: Unspecified Solid Tumor; Oncology: Vaginal; Oncology: Vulvar,HER2 negative; PD-1 Refractory; Second line; Stage III; Stage IV; Triple receptor negative,"Breast Neoplasms; Endometrial Neoplasms; Fallopian Tube Neoplasms; Neoplasms; Neoplasms, Unknown Primary; Ovarian Neoplasms; Uterine Cervical Neoplasms; Vaginal Neoplasms; Vulvar Neoplasms",United States
A Phase I/Ib Dose Escalation/Expansion Study of NGM831 as Monotherapy and in Combination With Pembrolizumab in Advanced or Metastatic Solid Tumors,I,Open,"Merck & Co./Merck Sharp & Dohme (MSD)
NGM Biopharmaceuticals","Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Colorectal; Oncology: Esophageal; Oncology: Gastric; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Melanoma; Oncology: Mesothelioma; Oncology: Ovarian; Oncology: Pancreas; Oncology: Prostate; Oncology: Renal",Second line; Stage III; Stage IV,"Bile Duct Neoplasms; Breast Neoplasms; Carcinoma; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Cholangiocarcinoma; Cholangiocarcinoma; Colorectal Neoplasms; Esophageal Cancer; Esophageal Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Melanoma; Mesothelioma; Neoplasms, Mesothelial; Ovarian Cancer; Ovarian Neoplasms; Pancreatic Cancer; Pancreatic Neoplasms; Prostatic Neoplasms; Renal Cancer; Squamous Cell Carcinoma of Head and Neck; Stomach Carcinoma; Stomach Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Wilms Tumor",United States
"A Phase I/Ib Open-label, First-in-human, Single Agent, Dose Escalation and Expansion Study for the Evaluation of Safety, Pharmacokinetics, Pharmacodynamics, and Anti-tumor Activity of SAR443216 in Participants with Relapsed/Refractory HER2 Expressing Solid Tumors.",I,Open,Sanofi;,"Oncology: Breast; Oncology: Gastric; Oncology: Lung, Non-Small Cell; Oncology: Unspecified Solid Tumor",HER2 positive; Second line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Neoplasms; Neoplasms, Unknown Primary; Stomach Carcinoma; Stomach Neoplasms","South Korea; Spain; Taiwan, China; United States"
"A Phase Ia/b Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of GS-9716 as Monotherapy and in Combination With Anticancer Therapies in Subjects With Solid Malignancies",I,Open,Gilead Sciences;,"Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Colorectal; Oncology: Endometrial; Oncology: Esophageal; Oncology: Gastric; Oncology: Head/Neck; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Lung, Small Cell; Oncology: Neuroendocrine; Oncology: Ovarian; Oncology: Prostate; Oncology: Renal; Oncology: Soft Tissue Sarcoma; Oncology: Thyroid",Adenocarcinoma; Follicular; HER2 negative; Hormone refractory; Large Cell; Locally advanced; Metastatic; PD-1 Refractory; PD-L1 Refractory; Pulmonary; Second line; Stage III; Stage IV; Triple receptor negative; Unresectable,"Breast Neoplasms; Carcinoma, Endometrioid; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Small Cell; Colorectal Neoplasms; Endometrial Neoplasms; Esophageal Cancer; Esophageal Neoplasms; Fibrosarcoma; Head and Neck Neoplasms; Kidney Neoplasms; Leiomyosarcoma; Liposarcoma; Liver Cancer; Liver Neoplasms; Neoplasms; Neuroendocrine Tumors; Ovarian Cancer; Ovarian Neoplasms; Prostatic Neoplasms; Renal Cancer; Rhabdomyosarcoma; Sarcoma; Small Cell Lung Carcinoma; Soft Tissue Neoplasms; Soft Tissue Sarcoma; Stomach Carcinoma; Stomach Neoplasms; Synovial Sarcoma; Thyroid Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Wilms Tumor",United States
"A Phase Ib, Open-label, Dose-escalation and Dose-expansion Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Preliminary Antitumor Activity of Inavolisib in Combination with Paclitaxel in Patients with Locally Advanced or Metastatic Solid Tumors",I,Open,Roche;Genentech;,Oncology: Breast; Oncology: Fallopian Tube; Oncology: Head/Neck; Oncology: Ovarian; Oncology: Primary Peritoneal; Oncology: Unspecified Solid Tumor,Estrogen receptor positive; HER2 negative; HER2 positive; Progesterone receptor positive; Second line; Stage III; Stage IV; Triple receptor negative,"Breast Neoplasms; Fallopian Tube Neoplasms; Head and Neck Neoplasms; Neoplasms, Unknown Primary; Ovarian Neoplasms; Peritoneal Neoplasms",Canada; Denmark; France; South Korea; Spain; United States
